Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:58:37+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 1.66, 2.23, 2.34
-----------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:80_mean                            249 ns          250 ns            3
BM_StdVectorPush/10/iterations:80_median                          219 ns          213 ns            3
BM_StdVectorPush/10/iterations:80_stddev                         60.7 ns         65.0 ns            3
BM_StdVectorPush/10/iterations:80_cv                            24.37 %         25.98 %             3
BM_StdVectorPush/100/iterations:80_mean                           532 ns          525 ns            3
BM_StdVectorPush/100/iterations:80_median                         505 ns          512 ns            3
BM_StdVectorPush/100/iterations:80_stddev                        87.1 ns         82.0 ns            3
BM_StdVectorPush/100/iterations:80_cv                           16.37 %         15.61 %             3
BM_StdVectorPush/1000/iterations:80_mean                         2874 ns         2875 ns            3
BM_StdVectorPush/1000/iterations:80_median                       2829 ns         2837 ns            3
BM_StdVectorPush/1000/iterations:80_stddev                        102 ns         99.2 ns            3
BM_StdVectorPush/1000/iterations:80_cv                           3.53 %          3.45 %             3
BM_StdVectorPush/10000/iterations:80_mean                       28575 ns        28421 ns            3
BM_StdVectorPush/10000/iterations:80_median                     28344 ns        27888 ns            3
BM_StdVectorPush/10000/iterations:80_stddev                      1333 ns         1403 ns            3
BM_StdVectorPush/10000/iterations:80_cv                          4.67 %          4.94 %             3
BM_StdVectorPush/100000/iterations:80_mean                     267041 ns       266842 ns            3
BM_StdVectorPush/100000/iterations:80_median                   266627 ns       266637 ns            3
BM_StdVectorPush/100000/iterations:80_stddev                     1956 ns         1628 ns            3
BM_StdVectorPush/100000/iterations:80_cv                         0.73 %          0.61 %             3
BM_StdVectorPush/1000000/iterations:80_mean                   2562184 ns      2556879 ns            3
BM_StdVectorPush/1000000/iterations:80_median                 2556733 ns      2548625 ns            3
BM_StdVectorPush/1000000/iterations:80_stddev                   24474 ns        23352 ns            3
BM_StdVectorPush/1000000/iterations:80_cv                        0.96 %          0.91 %             3
BM_StdVectorPush/10000000/iterations:80_mean                 27783598 ns     27747142 ns            3
BM_StdVectorPush/10000000/iterations:80_median               27842543 ns     27835562 ns            3
BM_StdVectorPush/10000000/iterations:80_stddev                 498619 ns       523339 ns            3
BM_StdVectorPush/10000000/iterations:80_cv                       1.79 %          1.89 %             3
BM_StdVectorPush/100000000/iterations:80_mean               272030278 ns    268029188 ns            3
BM_StdVectorPush/100000000/iterations:80_median             270654386 ns    268157275 ns            3
BM_StdVectorPush/100000000/iterations:80_stddev               3742720 ns      1541989 ns            3
BM_StdVectorPush/100000000/iterations:80_cv                      1.38 %          0.58 %             3
BM_StdVectorPush/1000000000/iterations:80_mean             3047301586 ns   3024045525 ns            3
BM_StdVectorPush/1000000000/iterations:80_median           3049655333 ns   3026556650 ns            3
BM_StdVectorPush/1000000000/iterations:80_stddev             11946507 ns     10072564 ns            3
BM_StdVectorPush/1000000000/iterations:80_cv                     0.39 %          0.33 %             3
BM_ConstantVectorPush/10/iterations:80_mean                      98.6 ns         91.7 ns            3
BM_ConstantVectorPush/10/iterations:80_median                    92.7 ns         87.5 ns            3
BM_ConstantVectorPush/10/iterations:80_stddev                    11.1 ns         19.1 ns            3
BM_ConstantVectorPush/10/iterations:80_cv                       11.30 %         20.83 %             3
BM_ConstantVectorPush/100/iterations:80_mean                      153 ns          154 ns            3
BM_ConstantVectorPush/100/iterations:80_median                    150 ns          150 ns            3
BM_ConstantVectorPush/100/iterations:80_stddev                   8.07 ns         7.22 ns            3
BM_ConstantVectorPush/100/iterations:80_cv                       5.27 %          4.68 %             3
BM_ConstantVectorPush/1000/iterations:80_mean                     797 ns          792 ns            3
BM_ConstantVectorPush/1000/iterations:80_median                   782 ns          775 ns            3
BM_ConstantVectorPush/1000/iterations:80_stddev                  90.8 ns          101 ns            3
BM_ConstantVectorPush/1000/iterations:80_cv                     11.39 %         12.76 %             3
BM_ConstantVectorPush/10000/iterations:80_mean                   6011 ns         6017 ns            3
BM_ConstantVectorPush/10000/iterations:80_median                 5999 ns         6000 ns            3
BM_ConstantVectorPush/10000/iterations:80_stddev                 95.4 ns          101 ns            3
BM_ConstantVectorPush/10000/iterations:80_cv                     1.59 %          1.68 %             3
BM_ConstantVectorPush/100000/iterations:80_mean                137076 ns       136879 ns            3
BM_ConstantVectorPush/100000/iterations:80_median              135655 ns       135450 ns            3
BM_ConstantVectorPush/100000/iterations:80_stddev                4190 ns         4373 ns            3
BM_ConstantVectorPush/100000/iterations:80_cv                    3.06 %          3.19 %             3
BM_ConstantVectorPush/1000000/iterations:80_mean              1381789 ns      1381004 ns            3
BM_ConstantVectorPush/1000000/iterations:80_median            1377814 ns      1376138 ns            3
BM_ConstantVectorPush/1000000/iterations:80_stddev              65874 ns        66247 ns            3
BM_ConstantVectorPush/1000000/iterations:80_cv                   4.77 %          4.80 %             3
BM_ConstantVectorPush/10000000/iterations:80_mean             6882134 ns      6808754 ns            3
BM_ConstantVectorPush/10000000/iterations:80_median           6860445 ns      6823300 ns            3
BM_ConstantVectorPush/10000000/iterations:80_stddev            192197 ns       153823 ns            3
BM_ConstantVectorPush/10000000/iterations:80_cv                  2.79 %          2.26 %             3
BM_ConstantVectorPush/100000000/iterations:80_mean           60791913 ns     60239767 ns            3
BM_ConstantVectorPush/100000000/iterations:80_median         60703381 ns     60338400 ns            3
BM_ConstantVectorPush/100000000/iterations:80_stddev           161912 ns       294318 ns            3
